Gene,NTG-7,NTG-8,NTG-9,NTG-10,AD-16,AD-17,AD-18,AD-19,AD-20,AD-CP2-21,AD-CP2-22,AD-CP2-23,AD-CP2-24,AD-CP2-25
56185,0.119901982,0.108490969,0.064807541,0.044210486,0.080150637,0.047491567,0.101348108,0.117389738,0.103034298,0.128906873,0.031086735,0.18107684,0.080497119,0.072845747
56189,0.024294901,0.029310357,0.078788997,0.023888166,0.012992291,0.025661026,0,0,0,0.01305975,0.025195552,0.040025821,0.043494851,0
56219,31.17349849,38.37412944,34.66015501,38.2840025,39.37284914,34.89966689,29.99151715,30.79223661,37.95381868,34.63382644,32.54362894,33.92085931,40.53039547,43.16412691
56248,86.82573796,69.49843939,79.52535426,85.37213547,94.49248418,98.61469602,87.79465399,88.50544464,88.28807999,86.27529377,88.89276306,75.4369809,85.97443208,90.14519328
56315,0.414683396,0.742367146,0.535039507,0.710258392,0.729668718,0.381485102,0.260059108,0.538831739,0.551761815,0.316393346,0.638148163,0.558306127,0.538840434,0.292573704
56318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56336,29.84284638,29.83013915,30.81375551,37.74940979,30.65766345,30.37112523,31.67178949,30.02442245,31.76632885,35.19262729,32.49518859,29.64737384,36.12919548,35.6298093
56348,77.31355294,75.51767708,69.86629858,74.98201963,70.82457961,85.88164219,87.4094219,85.92382588,75.92818707,84.5608868,81.59538252,77.63747654,79.42666685,76.78277645
56351,90.97255995,83.14374455,83.9957106,89.97944728,85.09391078,94.90685149,100.742842,87.51367517,85.29345014,94.76287558,95.16945939,84.91264543,97.24501617,93.70989243
56356,58.87411684,39.25724397,41.4794174,41.12204297,46.04009537,52.27246562,71.75014134,68.80438842,59.58896751,64.35579326,60.86273167,54.93491129,59.57943647,58.41967694
56357,32.81151781,23.93307483,32.93557785,31.97943248,32.85338373,27.69886755,25.8629302,29.70082526,23.31373245,24.600258,25.64893947,25.8529285,32.77586309,30.40769375
56362,0,0,0,0,0.022984204,0.022698008,0.009082139,0,0,0,0,0,0,0
56375,16.47216756,15.01148956,15.91088185,16.04140754,14.99408532,17.35678929,15.90512647,17.30652392,15.19013136,16.77719547,16.57196731,15.01888839,17.62868767,14.55646382
56386,64.85845414,64.59126004,68.56141286,75.17088145,71.56955946,68.73365554,65.17707849,63.63402138,67.09043982,70.42061717,66.34547003,65.67779827,78.52581056,79.9960968
56421,69.50513883,65.6147258,73.48934744,78.33592165,86.01658059,82.37985245,73.47685631,73.65053218,78.71050155,79.94470145,74.27449548,70.77691549,83.87252884,85.09618193
56451,55.14120966,46.68351655,48.05437401,49.59969394,47.76637387,53.98458392,51.24041904,44.8384631,42.76719729,46.81802619,45.77246019,45.66946731,44.2166212,46.63293769
56454,11.78831637,10.61111567,10.982845,12.925328,13.33783765,12.73011526,12.35135264,13.0997953,12.36233728,12.8234876,12.30140355,10.98159966,13.63188664,14.73386179
56473,182.472013,177.9868682,190.2732856,230.6791774,147.4736968,195.452425,206.9426879,213.6559954,205.6780588,231.8250556,233.9573355,189.7980893,187.8075368,217.0984403
56485,3.397976187,3.622775581,2.553235187,4.73968383,4.714261646,4.896684864,3.532690576,4.332550882,7.312276701,4.068518969,4.862497185,4.927925249,5.187355505,5.323751111
56520,3.349381127,3.405478969,3.689025302,4.618914989,3.627387232,3.315221722,3.347453669,4.26620515,3.972062486,4.031226086,3.7357026,3.56305077,3.639296706,3.148331017
56529,11.0509498,10.18473272,10.33655347,10.54766323,11.50794305,12.39717568,11.77599556,11.30020702,10.12177193,11.81825836,11.05107829,10.08979461,10.52384978,10.96570835
56632,26.91871579,26.41910732,29.43321578,33.63589578,32.9236155,27.79515411,33.68065187,33.94488806,34.76650001,33.52696824,34.2552313,30.65429952,36.02845116,35.8677727
56690,23.87231099,21.56396905,22.9013484,27.17364974,23.2828906,23.75834435,23.26625,22.97236259,21.26021185,23.16573878,22.32540279,21.83135662,23.35110769,22.51341616
56720,2.616850725,1.949958134,1.763863886,1.702747347,0.551537993,1.121858248,1.242575198,0.93869012,0.831457617,1.208099202,1.173346027,1.082041325,1.157449429,1.140952844
56727,0.036184835,0,0,0,0,0,0,0,0,0,0,0.039742981,0,0
56749,6.398140651,6.516981256,6.554033945,7.577087523,6.711816402,7.097056362,6.318073642,7.264620003,6.288130931,6.650212032,6.9977022,6.752417975,7.138991226,6.919418965
