Gene,B4APH9540922,B4APH9550922,B4APH9500922,B4APH9560922,B4APH9690922,B4AP9010922,B4AP8920922,B4AP9020922,B4AP9530922,B4AP9060922,B4AP9200922,B4AP9480922,B4AP9490922,B4AP9750922,B4AP9400922
Bpifb5,0,0,11.83796893,25.44991893,5.480862517,24.05812165,9.963624448,0,3.759423343,0,2.081514771,5.212763198,0,4.351376656,3.187152381
Bpifb6,0,0,5.918984464,0,0,0,9.963624448,0,76.1283227,0,0,0,0,0,14.87337778
Bpifb9a,6.115526441,0,0.986497411,0,0,0,111.5925938,4.535821588,28.19567507,0,0,0,0,0,19.12291429
Bpifb9b,0,0,0,0,0,0,92.66170737,10.88597181,56.39135015,1.96829527,0,0,13.27122662,0,4.249536508
Bpifc,0.873646634,2.080035195,7.891979285,12.72495946,28.31778967,0,0,7.25731454,7.518846686,1.96829527,23.93741987,13.55318431,0,4.351376656,0
Bpnt1,2516.102307,2672.845226,2604.353164,2736.926698,2966.973576,2888.979442,2105.313846,2463.858286,2451.14402,2050.963671,2574.833772,2457.296571,1856.950863,2435.683083,2933.242575
Bpnt2,8319.736899,9845.846597,8856.773753,8844.907241,9108.280026,9353.597214,9834.09733,10885.97181,8624.117149,9103.365622,8979.654722,9446.569467,8520.12749,8392.717726,8193.106388
Bptf,7501.130003,7636.84922,7238.917999,8026.268182,7254.835018,7264.550317,7675.976275,8218.001553,7411.703121,6055.460397,7244.712161,7040.357975,6547.819042,6629.322336,6545.348607
Braf,6618.746902,6661.312713,6702.263408,6912.834229,7270.364129,7336.724682,7643.096314,8266.081261,7160.761613,7108.498366,6974.11524,7245.740845,6585.590995,7004.628573,6582.532051
Brap,3201.041268,3567.26036,3092.669382,3343.483099,3625.590555,3796.171112,3542.068491,3299.356623,3769.761757,3508.486318,3254.448345,3763.615029,3337.203063,3725.866262,3461.247486
Brat1,1133.993331,968.2563835,1012.146343,1071.017422,951.8431238,1390.358947,1130.871375,1108.554796,1046.059545,1081.578251,1137.547822,677.6592157,1364.894615,999.7287868,1196.244527
Brca1,87.36466344,110.2418654,192.3669951,59.38314416,211.926684,125.3027169,61.77447158,117.9313613,89.2863044,54.12811991,144.6652766,76.10634269,178.6511276,64.18280568,128.5484794
Brca2,744.3469325,433.6873382,444.9103322,558.8378031,517.9415079,575.3900762,638.6683271,661.3227875,545.1163848,572.7739234,661.9216972,548.3826884,649.2692408,490.617718,642.7423969
Brcc3,1802.333007,1781.550145,1899.994013,1817.548377,1584.882744,1688.078203,1592.187187,2060.170165,1734.034017,1712.416885,1633.989095,2021.509568,1598.672376,1837.368793,1674.317384
Brcc3dc,22.71481249,0,13.81096375,1.060413289,9.134770862,0,15.94179912,0,5.639135015,0,10.40757386,0,4.083454345,1.087844164,24.43483492
Brd1,3295.395105,3457.018495,3011.776595,3137.762921,3670.350932,3546.5681,3455.384959,3429.988285,3497.203565,3369.721502,3455.31452,3732.33845,3337.203063,3429.972649,3384.755829
