Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A2ml1,329.459275,-0.043795339,0.203469481,-0.215242791,0.82957803,0.99947604
A3galt2,12.16814894,0.416645362,1.124909303,0.370381293,0.71109841,0.99947604
A430005L14Rik,860.2530464,-0.115763727,0.123889584,-0.934410484,0.350092192,0.99947604
A430033K04Rik,685.0201215,-0.10482762,0.158997073,-0.659305344,0.509699712,0.99947604
A4galt,189.7713251,0.174228882,0.330467661,0.527219158,0.598041406,0.99947604
A4gnt,4.301742067,2.011398618,1.88699701,1.065925705,0.286457228,0.99947604
A530016L24Rik,15.82215051,0.475799463,0.812793925,0.585387573,0.558287143,0.99947604
A530064D06Rik,2.945517562,1.342642023,2.6767636,0.501591557,0.615954859,0.99947604
A630001G21Rik,74.30513686,0.135091542,0.379990945,0.35551253,0.722205659,0.99947604
A630089N07Rik,136.4893608,-0.130552592,0.3318191,-0.39344508,0.69399078,0.99947604
A630095N17Rik,7.503371067,-0.462859605,1.136393729,-0.407305666,0.683783502,0.99947604
A830018L16Rik,4106.968982,-0.050126032,0.099737553,-0.502579324,0.615260069,0.99947604
A830031A19Rik,21.23987766,-0.139527492,0.819405387,-0.170278954,0.864790762,0.99947604
A930003A15Rik,30.34819476,0.197443197,0.81022604,0.243689029,0.807471671,0.99947604
A930007A09Rik,114.0697306,0.157953016,0.303100403,0.521124401,0.602280114,0.99947604
A930009A15Rik,22.53927785,0.207863006,1.03063187,0.201685017,0.840162977,0.99947604
A930018P22Rik,3.760945607,-0.299391978,1.937313838,-0.154539741,0.877184179,0.99947604
AA467197,17.53437444,-0.996466603,0.653271535,-1.525348267,0.127172255,0.99947604
AA986860,155.5371981,0.013693001,0.231998572,0.059021921,0.952934648,0.99947604
Aaas,592.8457816,0.022658971,0.12965459,0.174764128,0.861264976,0.99947604
Aacs,2356.20626,-0.034582723,0.084436378,-0.409571373,0.6821204,0.99947604
AAdacl4fm3,2.086296658,5.13975761,2.722028639,1.888208499,0.058997965,0.99947604
Aadat,11.2354177,0.401784237,0.896369835,0.448234893,0.653983683,0.99947604
Aagab,2937.924853,0.113963621,0.078027082,1.460564946,0.144134872,0.99947604
Aak1,22383.97768,-0.034819476,0.069241273,-0.502871688,0.615054488,0.99947604
Aamdc,990.4217665,-0.042630975,0.100589977,-0.423809375,0.671704841,0.99947604
Aamp,6307.730186,0.009090088,0.06374958,0.142590555,0.886613557,0.99947604
Aanat,16.05325862,0.580186439,0.860502361,0.674241542,0.500157763,0.99947604
Aar2,2302.326249,-0.063723269,0.088037553,-0.723819182,0.469176752,0.99947604
Aard,198.623554,0.180525803,0.258888072,0.697312167,0.485607455,0.99947604
Aars1,8476.738897,-0.060441045,0.073531124,-0.821979067,0.411088811,0.99947604
Aars2,1370.716757,0.173353295,0.130842279,1.324902747,0.18520341,0.99947604
Aarsd1,245.6198242,0.172413653,0.183920865,0.937433898,0.348535411,0.99947604
Aasdh,589.9852581,-0.043495893,0.171911642,-0.253013075,0.80025811,0.99947604
Aasdhppt,1413.632005,-0.154862521,0.127358202,-1.215960331,0.224000034,0.99947604
Aass,417.0017279,0.389704444,0.266198805,1.463960154,0.143204836,0.99947604
Aatf,586.1448974,-0.173835751,0.123671408,-1.405626034,0.159835201,0.99947604
Aatk,18115.23958,0.000914592,0.062079854,0.014732504,0.988245588,0.99947604
AB124611,59.57179913,-0.406395069,0.54856099,-0.740838441,0.458791404,0.99947604
Abat,20992.57925,-0.082523359,0.090382388,-0.913046905,0.361217873,0.99947604
Abca1,4745.558036,-0.13133869,0.132109342,-0.994166562,0.320141784,0.99947604
Abca12,18.68985027,0.072457761,0.805382797,0.08996686,0.92831355,0.99947604
Abca13,35.275181,0.064639887,0.86019174,0.075145906,0.940098624,0.99947604
Abca14,1.948831818,-0.019720447,2.973116203,-0.006632922,0.994707733,0.99947604
Abca17,21.52984438,0.471305097,0.761904381,0.618588249,0.536187645,0.99947604
Abca2,19661.70669,-0.034068267,0.068485849,-0.497449737,0.618871939,0.99947604
Abca3,5624.318147,-0.107429022,0.069258268,-1.551136419,0.120868995,0.99947604
Abca4,555.7552296,-0.225755593,0.487782952,-0.462819769,0.64349356,0.99947604
Abca5,3797.24974,0.04348037,0.072549856,0.599317119,0.548961434,0.99947604
Abca6,225.7043298,0.264208022,0.22365895,1.181298679,0.237484092,0.99947604
Abca7,1321.854616,-0.209743865,0.110982984,-1.88987408,0.058774803,0.99947604
Abca8a,1624.362468,-0.041430583,0.146784783,-0.282253938,0.777748803,0.99947604
Abca8b,1403.054142,0.00646754,0.100189205,0.06455326,0.9485297,0.99947604
Abca9,1217.370928,0.241256963,0.142213209,1.696445534,0.089801537,0.99947604
Abcb10,1912.085969,-0.15331652,0.092121445,-1.664286953,0.096055098,0.99947604
Abcb11,0.956769458,1.663238125,3.697269392,0.449855812,0.652814411,0.99947604
Abcb1a,2280.466452,0.013202904,0.140563758,0.093928226,0.925166172,0.99947604
Abcb1b,337.084355,-0.046693292,0.220149343,-0.212098258,0.832030378,0.99947604
Abcb4,439.4004452,-0.075104946,0.167335903,-0.448827447,0.653556138,0.99947604
Abcb6,150.3239907,0.221268531,0.274141216,0.8071334,0.419589631,0.99947604
Abcb7,2644.01659,-0.082389383,0.082650288,-0.996843261,0.318840596,0.99947604
Abcb8,2642.645563,0.006895787,0.071990296,0.095787729,0.923689164,0.99947604
Abcb9,2454.333803,0.104603648,0.091285337,1.145897594,0.251837527,0.99947604
Abcc1,1181.382153,0.088538096,0.093503953,0.946891475,0.343694082,0.99947604
Abcc10,613.8017259,0.056255284,0.197378526,0.28501218,0.775634811,0.99947604
Abcc12,54.54046563,0.087791718,0.444021964,0.197719312,0.843264679,0.99947604
Abcc2,11.50076162,0.496087593,0.819191183,0.605582193,0.54479223,0.99947604
Abcc3,269.0250595,0.137747608,0.276838198,0.497574428,0.618784031,0.99947604
Abcc4,1138.722748,-0.037040156,0.131139125,-0.282449316,0.777599005,0.99947604
Abcc5,7643.884584,0.029149913,0.089189765,0.326830248,0.74379628,0.99947604
Abcc6,115.4981705,-0.479007531,0.39497821,-1.212744194,0.225227638,0.99947604
Abcc8,1446.436714,-0.149658048,0.122582055,-1.220880566,0.222131244,0.99947604
Abcc9,551.3559666,0.171931833,0.214477141,0.801632435,0.422765609,0.99947604
Abcd1,822.1447973,0.074886498,0.116657119,0.641936799,0.520914219,0.99947604
Abcd2,2376.462056,-0.098106625,0.079680935,-1.231243391,0.218231847,0.99947604
Abcd3,4060.45616,-0.04674021,0.080637574,-0.579633139,0.562162041,0.99947604
Abcd4,636.9228575,0.044932477,0.145309165,0.309219844,0.7571543,0.99947604
Abce1,4675.063489,-0.091217981,0.089170238,-1.022964426,0.306324666,0.99947604
Abcf1,4272.456739,-0.09221386,0.079151609,-1.165028238,0.244007563,0.99947604
Abcf2,4756.963087,-0.004131854,0.072881343,-0.05669289,0.954789838,0.99947604
Abcf3,3359.22769,-0.0178818,0.073851814,-0.242130811,0.808678805,0.99947604
Abcg1,4574.084141,-0.022831826,0.085059075,-0.26842316,0.788373615,0.99947604
Abcg2,1049.585011,-0.011207124,0.118446498,-0.094617607,0.924618564,0.99947604
