reaction_id,reaction_name,subsystem,genes,minimum,maximum
PDE1g,"3',5'-cyclic-nucleotide phosphodiesterase,Golgi",Nucleotide interconversion,23984,0.0,0.0
SK_pro__L_c,Sink pro L[c],Exchange/demand reaction,,83.88169889114806,490.9990496807269
r1897,Y+LAT2 Utilized transport,"Transport, extracellular",330836,0.0,1000.0
NDPK3n,"Nucleoside-diphosphate kinase (ATP:CDP),nuclear",Nucleotide interconversion,18102;18103,-1000.0,1000.0
UDPACGALtl,Udpacgal intracellular transport,"Transport, lysosomal",,0.0,0.0
CATm,Catalase,ROS detoxification,12359,24.999999999997133,25.00000000000322
DNDPt63m,DGTP transport via dCDP antiport,"Transport, mitochondrial",67283,0.0,3.410605131648481e-12
SK_5HPET_c,Sink for 5(S)-HPETE,Exchange/demand reaction,,-300.0000000000019,-299.99999999999363
r1683,Y+LAT2 Utilized transport,"Transport, extracellular",330836,0.0,1000.0
EX_h2o_e,H2O exchange,Exchange/demand reaction,,-100.0,-99.9999999999917
MALTTTRt,"Transport of Maltotetraose, Reversible","Transport, extracellular",,0.0,1.2960299500264228e-12
HMR_0347,HMR 0347,"Transport, extracellular",11303,0.0,0.0
TMDS,Thymidylate synthase,Nucleotide interconversion,22171,7.359102046592284,7.359102046624173
FRUt1r,D-fructose transport in via uniport,"Transport, extracellular",435818;56485;20526;56017,-1000.0,1000.0
FACOAE181,Fatty-acid-CoA thioesterase (octadecenoate),Fatty acid synthesis,,-1000.0,0.0
r2521,Utilized transport,"Transport, endoplasmic reticular",,-1000.0,1000.0
APRGSTRNt1e,"Hydroxyprogesterone Transport, Antiport","Transport, extracellular",20509,-1.3642420526593924e-12,0.0
PI345P3Pn,"Phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase, nuclear",Inositol phosphate metabolism,19211,0.0,9.094947017729282e-13
ACGAM2E,N-acetylglucosamine 2-epimerase,Aminosugar metabolism,19703,0.0,0.0
r1925,Y+LAT2 Utilized transport,"Transport, extracellular",330836,0.0,1000.0
BALAtmr,"Beta-alanine transport, mitochondria","Transport, mitochondrial",,483.4015468330609,483.40154683307446
HMR_6500,HMR 6500,Vitamin E metabolism,,-1000.0,1000.0
r2508,Utilized transport,"Transport, endoplasmic reticular",,-1000.0,1000.0
CYOOm2i,CYOOm2i,Oxidative phosphorylation,12861;12862;66694;12864;12866;12867;12868;66594;66445;110323;66142;66152;78174;67003;66576;67530;22272;22273;17711;75483;12857;12858;12859,67.53399999999999,67.53400000000217
FTHFLi,Formate-tetrahydrofolate ligase,Folate metabolism,108156,0.0,1.4779288903810084e-12
r0789,S-Adenosyl-L-methionine:phosphodimethylethanolamine N-methyltransferase Glycerophospholipid metabolism EC:2.1.1.103,Sphingolipid metabolism,,0.0,0.0
SPHMYLN18114_hs_SECt,Transport of Sphingomyelin (D18:1/14:0),"Transport, extracellular",,0.0,0.0
PYDXPP,Pyridoxal 5-phosphate phosphatase,Vitamin B6 metabolism,57028,0.0,0.0
ICDCHOLt2,Isochenodeoxycholic acid transport via sodium cotransport,"Transport, extracellular",20493;20494,0.0,1000.0
EX_dopa_e,Dopamine exchange,Exchange/demand reaction,,-1.1273944740726922e-12,0.0
PDE4g,"3',5'-cyclic-nucleotide phosphodiesterase, Golgi",Nucleotide interconversion,23984,0.0,0.0
O2tn,"O2 transport (diffusion), nucleus","Transport, nuclear",,-1.3073986337985843e-12,0.0
PELINL_HSt1e,"Transport of 1-Linoleoylglycerophosphoethanolamine (Delta 9, 12), Vescicular","Transport, extracellular",,0.0,0.0
FAOXC150m,Beta oxidation of long chain fatty acid (odd chain),Fatty acid oxidation,11409;11364,0.0,1.1506351427215122e-12
HMR_2569,HMR 2569,"Transport, endoplasmic reticular",,-9.777068044058979e-12,0.0
r0086,2-Oxoglutaramate amidohydrolase Glutamate metabolism EC:3.5.1.3,Urea cycle,52633,0.0,559.2126155797364
EX_gthrd_e,Reduced glutathione exchange,Exchange/demand reaction,,-100.0,-99.99999999998352
r0986,Vesicular transport,"Transport, lysosomal",,0.0,1000.0
ALAyLATthc,Transport of Alanine by y+LAT1 or y+LAT2 with co-transporter of h in small intestine and kidney,"Transport, extracellular",330836;20540;17254,0.0,1000.0
HSD11B1r,11-beta-hydroxysteroid dehydrogenase type 1,Steroid metabolism,15483,-1000.0,1000.0
ACOADH60_m,Acyl-CoA dehydrogenase (6:0),Fatty acid oxidation,66885,0.0,2.000888343900442e-11
H2Otn,H2O transport  nuclear,"Transport, nuclear",,-809.1826132123399,1000.0
PCHOL_HStg,Phosphatidylcholine scramblase,"Transport, golgi apparatus",,0.0,3.0042879660020367
4TMEABUTNt1,"Transport of 4- (Trimethylammonio)Butanoate, Sodium Symport","Transport, extracellular",,-1000.0,1000.0
PE203_HSt1e,"1-Eicosatrienoylglycerophosphoethanolamine (Delta 11, 14, 17), Lpe (20:3), Vescicular","Transport, extracellular",,0.0,0.0
r1116,ATP Exporter (ATP-E) TCDB:9.A.6.1.1,"Transport, extracellular",,-100.0,-99.99999999999613
r2492,Resistance-Nodulation-Cell Division (RND) TCDB:2.A.60.1.14,"Transport, extracellular",108096,0.0,1000.0
2MOPtm,"Transport of 2-Methyl-3-Oxopropanoate, Mitochondrial","Transport, mitochondrial",,0.0,4.111958293183345e-12
GALGLUSIDEtg,Galgluside hs intracellular transport,"Transport, golgi apparatus",,0.0,0.0
r2141,Resistance-Nodulation-Cell Division (RND) TCDB:2.A.60.1.14,"Transport, extracellular",108096,-1000.0,1000.0
r1544,Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1,"Transport, extracellular",20539,-1000.0,1000.0
GDCA3St,Glycodeoxycholic acid 3-sulfate via bicarbonate countertransport,"Transport, extracellular",101488;28253,0.0,0.0
C05769te,Transport by Atb Binding Cassette Transporter ABCc2 into Extracellular Space,"Transport, extracellular",12780,0.0,0.0
