reaction_id,reaction_name,subsystem,genes,minimum,maximum
OCTAt,Octanoate transport via diffusion,"Transport, extracellular",,0.0,0.0
HMR_9803,3-Oxopropionyl Coenzyme A:NAD+ Oxidoreductase,Propanoate metabolism,,0.0,1.2138367173384217e-12
G14T21g,"Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase, Golgi",Keratan sulfate synthesis,56336;14595;57370;53418,0.0,0.0
PE161_HSABCt,"Transport of 1-Hexadecenoylglycerophosphoethanolamine (C16:1 Pe, Delta 9)","Transport, extracellular",50770;320940,0.0,0.0
r2520,Mitochondrial Carrier (MC) TCDB:2.A.29.2.1,"Transport, mitochondrial",67863,-1000.0,1000.0
HMR_0244,HMR 0244,"Transport, extracellular",14080;12140;14077;16592;26457;16204;12491;225579;26568;26569;75497;11770;21884,0.0,0.0
NDP7er,"Nucleoside-diphosphatase (UDP), endoplasmic reticulum",Nucleotide interconversion,12499;76025;100862375;67464,0.0,0.0
CBPS,Carbamoyl-phosphate synthase (glutamine-hydrolysing),Pyrimidine synthesis,69719,0.0,0.0
HMR_2857,HMR 2857,"Transport, endoplasmic reticular",20520,0.0,0.0
RE3247M,Acyl Coenzyme A Oxidase,Fatty acid oxidation,11430,0.0,0.0
PCHOLEIC_HSABCt,"Transport of 1-Eicosadienoylglycerophosphocholine (Delta 11, 14)","Transport, extracellular",54667;11303;54670;11982;18670,0.0,0.0
DUTCP,DUTP:cytidine 5'-phosphotransferase,Nucleotide interconversion,22245;80914,-1000.0,-99.99999999999963
FAOXC184C164x,"Fatty Acid Beta Oxidation (C18:4->C16:4), Peroxisomal",Fatty acid oxidation,15488;74147;11430;235674,0.0,0.0
FVStu,Uptake of fluvastatin by enterocytes,Drug metabolism,101488,-899.9999999999976,1000.0
PROPAT4te,Transport of Proline via Pat4,"Transport, extracellular",234967,-1000.0,1000.0
r1167,EC:2.3.1.26,Miscellaneous,223920;20652,0.0,1000.0
HMR_3662,Acyl Coenzyme A:Cholesterol O-Acyltransferase,Cholesterol metabolism,223920;20652,0.0,0.0
HMR_3686,Steryl-Ester Acylhydrolase,Cholesterol metabolism,12613;16889,0.0,0.0
HMR_0209,Long-Chain-Fatty-Acid Coenzyme A Ligase,Fatty acid synthesis,433256;14081;216739;26458;74205;50790;94180;328845,0.0,0.0
HMR_3680,Acyl Coenzyme A:Cholesterol O-Acyltransferase,Cholesterol metabolism,223920;20652,0.0,0.0
FAOXC164C143x,"Fatty Acid Beta Oxidation (C16:4->C14:3), Peroxisomal",Fatty acid oxidation,15488;74147;235674,0.0,0.0
EICOSTETCPT1,Carnitine O-palmitoyltransferase,Fatty acid oxidation,78070;12894;12895,0.0,-1.7394086171407253e-12
HMR_3647,Acyl Coenzyme A:Cholesterol O-Acyltransferase,Cholesterol metabolism,223920;20652,0.0,-1.5916157281026244e-12
HMR_1665,Cholate Coenzyme A Ligase,"Transport, peroxisomal",26458;26459,0.0,-9.094947017729282e-13
IND3ACt,Transport of Indole-3-Acetate,"Transport, extracellular",,0.0,0.0
BILIRUBt2,Bilirubin transport via bicarbonate countertransport,"Transport, extracellular",101488,-1000.0,1000.0
HMR_0306,Palmitoyl Coenzyme A Hydrolase,Fatty acid oxidation,171210;217700;70025;171282;171281;12012,0.0,-1.7053025658242404e-12
HMR_0382,Palmitoyl Coenzyme A Hydrolase,Fatty acid oxidation,171210;217700;70025;171282;171281;12012,0.0,-1.2505552149377763e-12
C12DCACOT,Thioesterification of Dodecanedioyl Coenzyme A for Release into Cytosol,Fatty acid oxidation,170789,0.0,0.0
HMR_3646,Acyl Coenzyme A:Cholesterol O-Acyltransferase,Cholesterol metabolism,223920;20652,0.0,0.0
NDPK1,Nucleoside-diphosphate kinase (ATP:GDP),Nucleotide interconversion,18103;171567;54369;79059;18102,-1000.0,1000.0
RE3176C,RE3176,Fatty acid oxidation,,0.0,0.0
RE3628M,Dodecenoyl Coenzyme A Isomerase,Fatty acid oxidation,23986;74147;13177,2.2358411418584487e-12,0.0
PGMT,Phosphoglucomutase,Glycolysis/gluconeogenesis,66681;72157,336.37419656030556,336.3741965603065
CYSO,Cysteine oxidase,Taurine and hypotaurine metabolism,12583,0.0,0.0
HMR_0309,Long-Chain-Fatty-Acid Coenzyme A Ligase,Fatty acid synthesis,433256;14081;216739;26458;74205;50790;94180;328845,0.0,0.0
ORNt4m,Ornithine mitochondrial transport exchange with citruline,"Transport, mitochondrial",83885;18408,-1000.0,1000.0
HMR_3650,Acyl Coenzyme A:Cholesterol O-Acyltransferase,Cholesterol metabolism,223920;20652,0.0,0.0
UGALNACtg,UDP-GalNAc Golgi transport via CMP antiport,"Transport, golgi apparatus",22232,0.0,0.0
r0009,Pyrophosphate phosphohydrolase EC:3.6.1.1,Purine catabolism,74776;67895;76429,0.0,0.0
LNLNCACRNt,Transport into the mitochondria (carnitine),Fatty acid oxidation,57279,-1000.0,1000.0
HMR_0345,Long-Chain-Fatty-Acid Coenzyme A Ligase,Fatty acid synthesis,433256;14081;216739;26458;74205;50790;94180;328845,0.0,0.0
AMACR2p,Alpha-methylacyl-CoA racemase (reductase),Bile acid synthesis,17117,182.38660184866833,182.38660184865225
H2Ot,H2O transport via diffusion,"Transport, extracellular",11826;11833;11827;17339;11829;11830,-1000.0,1000.0
RE3167C,RE3167,Fatty acid oxidation,,0.0,0.0
PRAGSr,Phosphoribosylglycinamide synthase,Purine synthesis,14450,0.0,0.0
DHCRD1,Dihydroceramide desaturase,Sphingolipid metabolism,13244;70059,0.0,0.0
r0145,"L-Arginine, NADPH:Oxygen Oxidoreductase (Nitric-Oxide-Forming)",Arginine and proline metabolism,18126;18127;18125,0.0,0.0
HMR_2334,Very-Long-Chain 3-Oxoacyl Coenzyme A Reductase,Fatty acid synthesis,56348,0.0,0.0
